ID,Species,Lk,P1P2,P3P4,hC,dK,dL,phi,Area,Perimeter,Eccentricity,CD,AB,CD/AB
137,2,0.116839773,0.261233554,0.250750912,0.0729442,0.001900673,0.012873063,41.91700265,12552,0.040250478,0.948020455,67.54851601,227.4959121,0.296921889
138,2,0.211447051,0.314442724,0.296231386,0.104301939,0.001588706,0.015982483,83.84536803,13918,0.035953729,0.920524151,79.94344507,220.4807352,0.362586985
139,2,0.104630339,0.314414918,0.296354374,0.056636807,0.016728026,0.009916553,93.88785598,14468,0.035437517,0.921773308,82.46252677,223.256292,0.36936261
140,2,0.098351502,0.264750293,0.235838955,0.058865702,0.008101296,0.011248345,82.21858059,13420,0.038914083,0.948731106,70.56316572,237.4478095,0.29717337
141,2,0.118380344,0.308676729,0.29637571,0.065908945,0.01323837,0.005848488,55.38241774,14261,0.035985485,0.920682155,84.29556862,222.3744372,0.379070408
142,2,0.13821973,0.272036518,0.259294486,0.08076444,0.007141991,0.011979811,80.39898404,14205,0.038220908,0.948122372,71.75756979,239.7497988,0.299301898
143,2,0.1227726,0.316949062,0.295298336,0.071706159,0.007896576,0.012765018,103.08136,13145,0.037083986,0.923331464,78.75766606,213.5686897,0.368769721
144,2,0.135077767,0.329183501,0.288829089,0.066304309,0.008579292,0.010293772,101.0056493,14466,0.035903636,0.921567791,81.90356547,223.537216,0.366397895
145,2,0.152465424,0.26066112,0.248910725,0.099066925,0.006490157,0.011005958,72.07256188,12579,0.040211305,0.94666406,69.30937654,227.563724,0.304571288
146,2,0.107149593,0.25044693,0.25626647,0.069304275,0.00515488,0.010257687,44.82497437,13338,0.039384615,0.949653379,70.61616336,237.2749959,0.297613169
147,2,0.113402456,0.258589894,0.245025042,0.061895704,0.003189292,0.009002408,50.31395658,13549,0.039067237,0.949394993,69.69062437,237.8845956,0.292959803
148,2,0.195331361,0.319104527,0.301280436,0.091924369,0.007128272,0.017464253,89.42656337,14939,0.035001607,0.925033714,82.63143589,227.5403947,0.363150622
149,2,0.126369912,0.306144068,0.290501427,0.079421015,0.009691846,0.017311335,52.03377403,15027,0.035372862,0.927357966,82.62919298,231.8231592,0.356432003
150,2,0.134355376,0.277095529,0.271177564,0.091206016,0.008768486,0.01119091,54.15373674,12212,0.039996397,0.94157145,69.51960011,219.6460529,0.316507395
151,2,0.143369934,0.270469221,0.259434472,0.08742197,0.005162309,0.018995422,113.5754282,13589,0.039905953,0.950686827,67.5116684,237.0610333,0.284786021
152,2,0.119823564,0.269931123,0.253207534,0.07950542,0.008271336,0.010390703,79.50296988,13071,0.039820901,0.949018623,68.24031953,232.8969717,0.29300647
153,2,0.100159739,0.327112943,0.297184742,0.050277598,0.010909888,0.014038715,93.45685156,13618,0.036840432,0.918799937,79.39863108,216.9150641,0.366035579
154,2,0.109469003,0.305634229,0.318349651,0.058803466,0.011488094,0.015209541,44.83658459,13052,0.03698437,0.922630084,77.77766232,209.8434679,0.370646097
155,2,0.106570888,0.277618366,0.24324418,0.064801105,0.003214108,0.018164457,81.47552776,12633,0.040583472,0.94738028,69.23459507,227.9386144,0.303742283
156,2,0.131818097,0.301283355,0.273286029,0.080889726,0.008090519,0.015120522,58.81653689,13229,0.037652355,0.923058679,77.53027388,218.8644475,0.354238776
157,2,0.197467452,0.318302871,0.298316083,0.100474095,0.005158968,0.011529027,60.49377939,14789,0.034597877,0.913315139,86.2471901,223.1419228,0.386512714
158,2,0.09907627,0.303218628,0.294647107,0.056571331,0.014235028,0.013046121,43.82226688,15112,0.034898094,0.927336517,82.17926725,231.0866244,0.355621047
159,2,0.127230291,0.296167533,0.301693257,0.057722111,0.00517769,0.024002757,119.2445894,13096,0.037436775,0.92206916,78.30722486,213.143598,0.367391869
160,2,0.103357253,0.258628504,0.26204442,0.066386617,0.009980267,0.013507085,77.75585113,12633,0.040550146,0.951177916,66.58724364,229.4054767,0.290260043
161,2,0.14221565,0.32927645,0.308379467,0.06566972,0.012064785,0.013057367,57.6688748,14314,0.035324158,0.909365162,85.168668,216.0165229,0.394269229
