ID,Species, Lk, P1P2,P3P4,hC,dK,dL,phi,Area,Perimeter,Eccentricity, CD, AB,CD/AB
36,1,0.098028765,0.256459049,0.264160647,0.064226602,0.005216148,0.017018555,80.88933533,12156,0.040858835,0.948623292,66.73650953,223.7367531,0.298281389
37,1,0.116226924,0.252595673,0.247289737,0.083369912,0.004539596,0.019680895,35.64368413,13824,0.038826172,0.950235806,70.10144715,242.4231257,0.289169802
38,1,0.067940138,0.234241031,0.236685987,0.012702919,0.016940792,0.00502249,137.7162281,12338,0.041816664,0.956547343,65.26738095,236.1292908,0.276405272
39,1,0.098409614,0.278314425,0.272274408,0.062406957,0.011639386,0.020078972,33.59463001,13896,0.037955455,0.943288575,73.83891617,234.1900593,0.315294835
40,1,0.106885753,0.271440951,0.246662615,0.080047326,0.006105106,0.025910434,38.44133323,12204,0.041147411,0.944552268,68.53547011,223.2532423,0.306985329
41,1,0.132378623,0.273090687,0.278280182,0.095909712,0.009413979,0.020608685,77.91648254,12318,0.039936922,0.937285615,71.19869039,218.2481685,0.326228123
42,1,0.137632813,0.256220925,0.258657702,0.085779591,0.006675365,0.01879675,31.17303397,13765,0.03893251,0.949891556,70.68551975,240.8017307,0.293542407
43,1,0.120506622,0.264424318,0.269414427,0.095040612,0.011357557,0.016406235,95.2862208,12144,0.040847579,0.941255762,69.02213325,221.7925239,0.311201352
44,1,0.089416742,0.263896037,0.247108851,0.06391216,0.005449597,0.019046947,36.09924258,11956,0.041253931,0.944644818,67.82186857,223.7921189,0.303057449
45,1,0.131318005,0.272890996,0.263156774,0.094891925,0.002182972,0.023538254,73.49278695,12232,0.040657783,0.936315999,73.11440922,219.3443436,0.333331638
46,1,0.101802364,0.276098437,0.265723706,0.07150416,0.025190443,0.007027943,85.75372704,11929,0.040995976,0.940250774,67.79320765,216.5724839,0.313027798
47,1,0.092224957,0.267530435,0.265740808,0.036807906,0.000524744,0.015383493,77.67553431,11916,0.040451494,0.940756809,68.44959204,217.7563768,0.314340241
48,1,0.103554059,0.283627497,0.274835859,0.065399575,0.005876673,0.018760384,80.95610374,13936,0.03703186,0.93351855,76.34404128,229.7024508,0.332360587
49,1,0.109376854,0.28618765,0.27744456,0.060896801,0.007089482,0.018317366,37.7770438,13170,0.038576082,0.931081952,77.76599453,219.5018237,0.354284047
50,1,0.103010971,0.271800094,0.269422568,0.068557194,0.011344418,0.018827639,36.26026575,14069,0.038133556,0.943284912,74.97055945,235.8268904,0.31790505
51,1,0.120304107,0.251924776,0.264753298,0.077616043,0.007368137,0.01440857,86.36120929,13771,0.038679108,0.951726428,69.80900981,240.2497188,0.290568539
52,1,0.08959532,0.248929359,0.284415295,0.075750344,0.011556545,0.016237845,77.93717911,11959,0.040289991,0.936866094,71.21338006,217.1156267,0.327997487
53,1,0.155416041,0.25266111,0.252091502,0.097556865,0.005862073,0.020523765,29.11546365,14157,0.038770714,0.949645454,72.49521333,246.2204085,0.294432187
54,1,0.092326988,0.222455953,0.272350936,0.077182513,0.006114589,0.052172956,84.76613781,12047,0.044053623,0.94695722,67.2575544,226.6844819,0.296701185
