ID,Species,F1,F2,F3,F2/F3,F1/V,Eccentricity
4076,ThuanViet2,0.156,0.12408,0.10466,0.098129,0.084968,0.07606
4077,ThuanViet2,0.17888,0.13575,0.12302,0.11264,0.098172,0.089995
4078,ThuanViet2,0.15789,0.12916,0.11134,0.10456,0.093213,0.085538
4079,ThuanViet2,0.14716,0.11443,0.098242,0.096793,0.0858,0.079455
4080,ThuanViet2,0.15384,0.11874,0.1021,0.097605,0.085608,0.077813
4081,ThuanViet2,0.28014,0.19706,0.16968,0.15675,0.12912,0.11297
4082,ThuanViet2,0.24207,0.17981,0.15561,0.14077,0.11748,0.10332
4083,ThuanViet2,0.22756,0.19636,0.15395,0.14459,0.12408,0.10792
4084,ThuanViet2,0.28845,0.22362,0.17699,0.16982,0.14278,0.12396
4085,ThuanViet2,0.36405,0.25537,0.20204,0.19639,0.15895,0.13598
4086,ThuanViet2,0.30639,0.24314,0.18326,0.17843,0.14924,0.12833
4087,ThuanViet2,0.26033,0.21029,0.16502,0.15343,0.12829,0.11007
4088,ThuanViet2,0.25404,0.19075,0.15908,0.15055,0.12665,0.1116
4089,ThuanViet2,0.18611,0.14889,0.12345,0.11332,0.096321,0.08513
4090,ThuanViet2,0.17705,0.13952,0.10925,0.10727,0.091744,0.081745
4091,ThuanViet2,0.205,0.15678,0.12505,0.12221,0.10437,0.092734
4092,ThuanViet2,0.2167,0.17428,0.14711,0.13378,0.11386,0.099686
4093,ThuanViet2,0.27223,0.2117,0.16215,0.15614,0.12943,0.11126
4094,ThuanViet2,0.23941,0.17838,0.14408,0.13745,0.11475,0.10072
4095,ThuanViet2,0.19444,0.15475,0.12664,0.12217,0.10584,0.095121
4096,ThuanViet2,0.19815,0.15139,0.12529,0.11994,0.10242,0.091644
4097,ThuanViet2,0.17719,0.14004,0.11726,0.11081,0.095744,0.085513
4098,ThuanViet2,0.16806,0.13624,0.10754,0.10387,0.090323,0.080667
4099,ThuanViet2,0.18948,0.15405,0.11725,0.1164,0.1001,0.08874
4100,ThuanViet2,0.2196,0.17297,0.13459,0.13179,0.11222,0.098995
4101,ThuanViet2,0.24259,0.19132,0.1569,0.14904,0.12803,0.11404
4102,ThuanViet2,0.23708,0.18217,0.14863,0.14116,0.11951,0.10525
4103,ThuanViet2,0.1926,0.14677,0.12965,0.1205,0.10522,0.096707
4104,ThuanViet2,0.18747,0.15029,0.12714,0.11758,0.10143,0.090813
4105,ThuanViet2,0.17176,0.12785,0.11684,0.10525,0.090346,0.081046
4106,ThuanViet2,0.15807,0.1297,0.11232,0.10381,0.092202,0.084473
4107,ThuanViet2,0.18504,0.1439,0.1204,0.11455,0.099625,0.090492
4108,ThuanViet2,0.2078,0.16417,0.1427,0.12954,0.11188,0.10051
4109,ThuanViet2,0.21675,0.17881,0.14119,0.13192,0.11236,0.097548
4110,ThuanViet2,0.22129,0.16749,0.15035,0.13769,0.11898,0.10735
4111,ThuanViet2,0.18271,0.14681,0.12986,0.11827,0.10356,0.094073
4112,ThuanViet2,0.18967,0.15773,0.12621,0.11929,0.10346,0.09194
4113,ThuanViet2,0.15156,0.12895,0.10453,0.099209,0.087582,0.07896
4114,ThuanViet2,0.13442,0.11513,0.088586,0.088552,0.078375,0.070683
4115,ThuanViet2,0.17362,0.12471,0.11397,0.10626,0.09247,0.086043
4116,ThuanViet2,0.20285,0.15212,0.12715,0.12145,0.10387,0.093154
4117,ThuanViet2,0.21876,0.17815,0.14537,0.13608,0.117,0.10345
4118,ThuanViet2,0.22916,0.17933,0.15092,0.14327,0.12418,0.11197
4119,ThuanViet2,0.16967,0.1328,0.11277,0.10796,0.093837,0.085097
4120,ThuanViet2,0.1869,0.14365,0.11861,0.11492,0.099512,0.089789
4121,ThuanViet2,0.14593,0.11616,0.10491,0.10154,0.092311,0.086909
4122,ThuanViet2,0.12104,0.093435,0.081846,0.080517,0.072072,0.067755
4123,ThuanViet2,0.12927,0.10421,0.08062,0.081594,0.071729,0.065233
4124,ThuanViet2,0.22328,0.17602,0.14845,0.14192,0.12501,0.11466
4125,ThuanViet2,0.22013,0.17287,0.14256,0.13615,0.11822,0.10731
4126,ThuanViet2,0.20916,0.15797,0.13497,0.13151,0.11449,0.1049
4127,ThuanViet2,0.15056,0.12056,0.1026,0.10024,0.089477,0.083291
4128,ThuanViet2,0.15565,0.12673,0.10735,0.103,0.091159,0.083706
