ID,Species,Lk,P1P2,P3P4,hC,dK,dL,phi,Area,Perimeter,Eccentricity,CD,AB,CD/AB
399,5,0.082618053,0.215635124,0.225211459,0.071635063,0.008977957,0.013700068,64.07858077,12823,0.043100522,0.961348447,62.81020914,251.4607931,0.249781321
400,5,0.097656896,0.193838274,0.20815877,0.08988268,0.000391391,0.013813545,50.75010377,12348,0.044511986,0.968206001,58.60093225,257.0746717,0.22795296
401,5,0.066086867,0.17803931,0.188421642,0.062825804,0.003897495,0.019595025,11.92918067,11624,0.048633259,0.969426488,57.68731893,259.8200703,0.222027955
402,5,0.080334967,0.216251929,0.225194589,0.076951687,0.006802359,0.018869069,32.25151221,12798,0.043079387,0.963440678,61.70414753,252.1668626,0.244695702
403,5,0.079667379,0.20623002,0.221368719,0.088010781,0.013659599,0.026128941,96.23163116,12839,0.043588519,0.962925505,62.9416971,254.2661723,0.247542552
404,5,0.108409964,0.221399342,0.218428318,0.104832013,0.008832005,0.023776161,26.62616402,12910,0.042896514,0.961012609,63.60269177,251.8878953,0.252503963
405,5,0.133431545,0.220113957,0.221629523,0.092605815,0.003738261,0.014823968,28.23820047,12963,0.042419965,0.961229886,63.61989748,249.4916693,0.254998083
406,5,0.07826502,0.207844192,0.234348348,0.082324902,0.004845139,0.019172899,30.28882618,13014,0.042453358,0.961818019,62.95750357,254.0676016,0.247798236
407,5,0.096835242,0.217718616,0.229657068,0.084197473,0.005037877,0.021439094,68.20185686,12350,0.043060324,0.956318017,65.37763407,241.8838025,0.270285292
408,5,0.112751973,0.20718225,0.20257011,0.096648717,0.005087531,0.013957979,27.05912412,12140,0.046169193,0.966062625,58.54142774,253.3812778,0.231040858
409,5,0.076239813,0.222807234,0.229610554,0.073763654,0.007075194,0.020054085,73.20818089,12246,0.043150661,0.95664807,63.23116687,241.3288477,0.262012467
410,5,0.113700547,0.20088797,0.221704868,0.088764146,0.003738742,0.016362882,61.18930659,12828,0.043817353,0.966248108,61.1221555,258.4167036,0.23652556
411,5,0.085061739,0.231529209,0.23985195,0.081624499,0.006386012,0.022726069,73.18430262,11964,0.0441054,0.958401036,60.65222435,237.4779357,0.255401514
412,5,0.101407991,0.201084058,0.214886946,0.092016302,0.009493012,0.015014533,17.26767142,12856,0.044027458,0.967715604,58.74570919,258.6963457,0.227083645
413,5,0.088535108,0.208682538,0.210949976,0.037222022,0.016399449,0.000496043,58.7120016,13033,0.043296171,0.963771281,63.23797884,259.588675,0.243608389
